month,category,amount,notes
2024-01,total,12450.00,Holiday hangover
2024-01,housing,4800.00,Mortgage + utilities + HOA
2024-01,groceries,1850.00,
2024-01,restaurants,920.00,Few date nights
2024-01,transportation,650.00,Gas + Tesla supercharging
2024-01,subscriptions,180.00,Streaming + software
2024-01,healthcare,420.00,Q1 deductible hits
2024-01,childcare,2100.00,Daycare
2024-01,travel,0.00,
2024-01,other,1530.00,Misc
2024-02,total,9800.00,Normal
2024-02,housing,4800.00,
2024-02,groceries,1740.00,
2024-02,restaurants,640.00,
2024-02,transportation,520.00,
2024-02,subscriptions,180.00,
2024-02,healthcare,200.00,
2024-02,childcare,2100.00,
2024-02,travel,0.00,
2024-02,other,140.00,
2024-03,total,11200.00,Spring break travel
2024-04,total,9650.00,Normal
